Woonplaats,Gemeente,Provincie,Latitude,Longitude
Castelré,Baarle-Nassau,Noord-Brabant,51.43333330,4.78333330
Castenray,Venray,Limburg,51.48333300,6.03333300
Casteren,Bladel,Noord-Brabant,51.40000000,5.23333300
Castricum,Castricum,Noord-Holland,52.55000000,4.66666700
Chaam,Alphen-Chaam,Noord-Brabant,51.50000000,4.86666700
Clinge,Hulst,Zeeland,51.26666700,4.10000000
Coevorden,Coevorden,Drenthe,52.66666700,6.75000000
Colijnsplaat,Noord-Beveland,Zeeland,51.60000000,3.85000000
Collendoorn,Hardenberg,Overijssel,52.60000000,6.61666700
Colmschate,Deventer,Overijssel,52.25000000,6.21666700
Cornwerd,Wûnseradiel,Friesland,53.08333300,5.40000000
Cothen,Wijk bij Duurstede,Utrecht,52.00000000,5.31666700
Creil,Noordoostpolder,Flevoland,52.76666700,5.66666700
Cromvoirt,Vught,Noord-Brabant,51.66666700,5.23333300
Cruquius,Haarlemmermeer,Noord-Holland,52.33333300,4.63333300
Cuijk,Cuijk,Noord-Brabant,51.73333300,5.91666700
Culemborg,Culemborg,Gelderland,51.95000000,5.23333300
Daarle,Hellendoorn,Overijssel,52.43333300,6.53333300
Daarlerveen,Hellendoorn,Overijssel,52.43333300,6.58333300
Dalem,Gorinchem,Zuid-Holland,51.83333300,5.01666700
Dalen,Coevorden,Drenthe,52.70000000,6.75000000
Dalerpeel,Coevorden,Drenthe,52.68333300,6.66666700
Dalerveen,Coevorden,Drenthe,52.68333300,6.81666700
Dalfsen,Dalfsen,Overijssel,52.50000000,6.26666700
Dalmsholte,Ommen,Overijssel,52.48333330,6.36666670
Damwâld,Dantumadiel,Friesland,53.28333300,6.00000000
Darp,Westerveld,Drenthe,52.78333300,6.21666700
De Bilt,De Bilt,Utrecht,52.11666700,5.18333300
De Blesse,Weststellingwerf,Friesland,52.83333300,6.05000000
De Bult,Steenwijkerland,Overijssel,52.79820000,6.10480000
De Cocksdorp,Texel,Noord-Holland,53.15000000,4.86666700
De Falom,Dantumadiel,Friesland,53.26666700,6.01666700
De Glind,Barneveld,Gelderland,52.11666700,5.55000000
De Goorn,Koggenland,Noord-Holland,52.63333300,4.95000000
De Groeve,Tynaarlo,Drenthe,53.11420000,6.71530000
De Heen,Steenbergen,Noord-Brabant,51.61666700,4.26666700
De Heurne,Aalten,Gelderland,51.88333300,6.50000000
De Hoef,De Ronde Venen,Utrecht,52.20170000,4.81530000
De Hoeve,Weststellingwerf,Friesland,52.88333300,6.08333300
De Kiel,Coevorden,Drenthe,52.86666700,6.75000000
De Klomp,Ede,Gelderland,52.05000000,5.58333300
De Knipe,Heerenveen,Friesland,52.96666700,5.98333300
De Koog,Texel,Noord-Holland,53.10000000,4.76666700
De Krim,Hardenberg,Overijssel,52.64920000,6.61810000
De Kwakel,Uithoorn,Noord-Holland,52.23333300,4.80000000
De Lier,Westland,Zuid-Holland,51.96666700,4.26666700
De Lutte,Losser,Overijssel,52.31666700,6.98333300
De Meern,Utrecht,Utrecht,52.08333300,5.03333300
De Moer,Loon op Zand,Noord-Brabant,51.61666700,5.00000000
De Pol,Steenwijkerland,Overijssel,52.82000000,6.08060000
De Punt,Tynaarlo,Drenthe,53.11666700,6.58333300
De Rijp,Graft-De Rijp,Noord-Holland,52.57000000,4.85000000
De Schiphorst,Meppel,Drenthe,52.68333330,6.25000000
De Steeg,Rheden,Gelderland,51.90000000,6.16666700
De Tike,Smallingerland,Friesland,53.15000000,6.05000000
De Veenhoop,Smallingerland,Friesland,53.10000000,5.95000000
De Waal,Texel,Noord-Holland,51.83333300,4.55000000
De Weere,Opmeer,Noord-Holland,52.73333300,5.00000000
De Westereen,Dantumadiel,Friesland,53.26666700,6.05000000
De Wijk,De Wolden,Drenthe,52.66666700,6.28333300
De Wilgen,Smallingerland,Friesland,53.10000000,6.03333300
De Wilp,Marum,Groningen,53.11836111,6.25588889
De Woude,Castricum,Noord-Holland,,
De Zilk,Noordwijkerhout,Zuid-Holland,52.30000000,4.55000000
Dearsum,Boarnsterhim,Friesland,53.08333330,5.71666670
Dedemsvaart,Hardenberg,Overijssel,52.60000000,6.46666700
Dedgum,Wûnseradiel,Friesland,53.01666700,5.48333300
Deelen,Ede,Gelderland,52.06666670,5.90000000
Deest,Druten,Gelderland,51.88333300,5.66666700
Deil,Geldermalsen,Gelderland,52.13333300,4.41666700
Deinum,Menaldumadeel,Friesland,53.20000000,5.71666700
Delden,Hof van Twente,Overijssel,52.26666700,6.71666700
Delfgauw,Pijnacker-Nootdorp,Zuid-Holland,52.00000000,4.40000000
Delfstrahuizen,Lemsterland,Friesland,52.88333300,5.83333300
Delft,Delft,Zuid-Holland,52.00000000,4.36666700
Delfzijl,Delfzijl,Groningen,53.33333300,6.91666700
Delwijnen,Zaltbommel,Gelderland,51.76666700,5.18333300
Den Andel,Winsum,Groningen,53.38333300,6.51666700
Den Bommel,Oostflakkee,Zuid-Holland,51.71666700,4.28333300
Den Burg,Texel,Noord-Holland,53.05000000,4.80000000
Den Dolder,Zeist,Utrecht,52.13333300,5.25000000
Den Dungen,Sint-Michielsgestel,Noord-Brabant,51.66666700,5.36666700
